code,FR,ZH,IT,DE,EN,PT,AR,ES,RU,JA
VITUS.synopsis,"Vitus est un surdoué promis à une brillante carrière de pianiste. Mais il préfère bricoler dans la menuiserie de son grand-père. Il rêve de voler et d'avoir une enfance normale. Pour prendre son destin en mains, il devra affronter ses propres parents.",钢琴天才儿童Vitus有着灿烂的艺术前景，而他却更喜欢在爷爷的木工房里做手工。他的梦想是在蓝天翱翔，并能过上普通孩子的生活。为了掌握自己的命运，他和父母的冲突在所难免。,La storia di un bambino ad alto potenziale che si ribella al futuro dettato dai suoi genitori.,"Die Geschichte eines hochbegabten Jungen, der gegen die Zukunft rebelliert, die seine Eltern für ihn vorgesehen haben.","Vitus is a gifted child who promises to have a brilliant career as a concert pianist. Yet he dreams of having a normal childhood. To take control of his life, he has to confront his parents.",A história de uma criança de alto potencial que se rebela contra o futuro ditado pelos pais.,"""فيتوس"" نابغة يُرشحه الجميع لمسيرة متألقة كعازف على البيانو، لكنه يفضل الإنشغال في ورشة النجارة التي يمتلكها جده. يحلم بأن يطير وبأن يعيش طفولة عادية. ومن أجل الإمساك بمصيره بين يديه، سيتطلب الأمر مُواجهة والديه.  ",Vitus es un chico superdotado que promete una brillante carrera como pianista. Pero el deseo del niño es el de crecer como un niño “normal” y para conseguirlo debe afrontar a sus padres y tomar su destino en manos propias.,"«Витус» («Vitus»), снятый в 2005 году еще один фильм режиссера Фреди Мурера с участием великого швейцарского актера Бруно Ганца. В центре фильма история подростка Витуса, который обладает музыкальным талантом, не замечаемым родителями. Однажды его просят сыграть гостям на фортепиано и этот вечер круто меняет всю его жизнь. ","Vitus is a gifted child who promises to have a brilliant career as a concert pianist. Yet he dreams of having a normal childhood. To take control of his life, he has to confront his parents."
LADENTELLIÈRE.synopsis,"Interprété tout en nuances par la jeune Isabelle Huppert, ce drame est un des films culte du Nouveau cinéma suisse, primé à Cannes et à Berlin. Il traite du fossé social et culturel qui finit par tuer l’amour entre deux jeunes que tout oppose.",瑞士新电影的代表作，曾分获戛纳和柏林电影节奖项。影片故事讲述的是一对相爱的年轻人因为社会文化鸿沟最终分手的故事。女主演 Isabelle Huppert将人物诠释得细腻感人。,"Interpretato da una giovane Isabelle Huppert, è uno dei film culto del Nuovo cinema svizzero. Con 500mila entrate nella sola Parigi è stato il più grande successo di Claude Goretta.","Einer der Kultfilme des neuen Schweizer Kinos, mit der jungen Isabelle Huppert. Mit 500'000 Eintritten allein in Paris war der Film der grösste Kassenerfolg von Claude Goretta.","This is one of the cult films of the New Swiss cinema. It features a young Isabelle Huppert. With 500,000 tickets sold in Paris alone, it was a major hit for director Claude Goretta.","Estrelado pela jovem atriz Isabelle Huppert, é um dos mais conhecidos filmes do chamado Novo Cinema Suíço. Um dos maiores sucessos de Claude Goretta.",يُعتبر هذا الشريط الذي يعرض مأساة جسدتها الممثلة الشابة آنذاك إيزابيل هوبيرت والحائز على جوائز في مهرجانات كان وبرلين، من أشهر أفلام الموجة الجديدة في السينما السويسرية. يُعالج الشريط الهوة الإجتماعية والثقافية التي تؤدي في نهاية المطاف إلى نسف الحب بين شاب وشابة يفترقان عن بعضهما في كل شيء.,"Interpretado por la joven Isabelle Huppert, es uno de los filmes del ‘Nuevo Cine Suizo’. Con 500 000 entradas vendidas en París, ha sido el mayor éxito de Claude Goretta.",«Кружевница» (фр. La Dentellière) — фильм швейцарского режиссёра Клода Горетта. Экранизация одноимённого романа французского писателя Паскаля Лене.,"This is one of the cult films of the New Swiss cinema. It features a young Isabelle Huppert. With 500,000 tickets sold in Paris alone, it was a major hit for director Claude Goretta."
HANDYMAN.synopsis,"Plaqué par sa petite amie, Mike cherche l’aide d’un psychologue animateur d’une émission de radio pour âmes en détresse. Celui-ci promet de l’aider à trouver la femme de ses rêves en cinq jours, à condition qu’il accepte que son histoire constitue la trame d’un livre à paraître.",迈克被女友抛弃后，找到一位心理医师兼电台心灵鸡汤节目主播，以寻求帮助。后者答应帮助他在5天之内找到梦中女神，条件是可以写他的故事，并出版成书。,"Dopo essere stato lasciato dalla ragazza, Mike si rivolge a uno psicologo che gli promette di aiutarlo a trovare la donna dei suoi sogni.","Nachdem er von seiner Freundin verlassen wurde, wendet sich Mike an einen Psychologen, der ihm verspricht, die Frau seiner Träume zu finden.","After being dumped by his girlfriend, Mike consults a psychotherapist who promises to help him find the woman of his dreams – but there are strings attached.","Depois de ser abandonado pela namorada, Mike procura um psicólogo que promete ajudá-lo a encontrar a mulher dos seus sonhos.",بعد أن تخلت عنه صديقته الصغيرة، يبحث مايك عن مساعدة طبيب نفساني ينشط برنامجا إذاعيا للأنفس المكروبة. الطبيب يعدُه بمساعدته على العثور على فتاة أحلامه في ظرف خمسة أيام ولكن شريطة أن يُوافق على أن تكون قصته موضوع كتاب سينشر قريبا. ,"Luego de sufrir el abandono de su novia, Mike visita el psicólogo, que le promete ayudarlo a encontrar a la mujer de sus sueños.","Майк (эту роль исполняет Марко Рима / Marco Rima) работает в Цюрихе на музыкальной фирме и не может никак найти подходящую спутницу жизни. Психолог Грегор (роль Оливера Кориттке / Oliver Korittke) из Берлина тоже находится в кризисе, потому что издательство требует от него скорее сдать рукопись нового руководства по счастливой семейной жизни. Грегор обещает Майку помочь найти идеальную жену, в обмен на его согласие стать прообразом для требуемого руководства. ","After being dumped by his girlfriend, Mike consults a psychotherapist who promises to help him find the woman of his dreams – but there are strings attached."
KASSETTENLIEBE.synopsis,"Une agence matrimoniale à l’ancienne décide de passer aux profils en vidéo, ce qui crée une joyeuse pagaille. Trois ans après «Les faiseurs de Suisses», le réalisateur Rolf Lyssy retrouve la comédie et dirige à nouveau Emil Steinberger.",一家交友中介公司决定把顾客资料以录像形式呈现，结果闹出一系列令人捧腹的故事。经典之作《瑞士人制造师》上映后的第3年，导演Rolf Lyssy再次同喜剧演员埃米尔·斯坦伯格(Emil Steinberger)联手，创作喜剧。 ,"In un’agenzia matrimoniale scoppia il caos dopo l’adozione di un nuovo sistema elettronico. La commedia è diretta da Rolf Lyssy, regista di “I fabbricasvizzeri”.","In einer Partnervermittlungs-Agentur bricht das Chaos aus, als ein neues elektronisches System eingeführt wird. Ein Film von Rolf Lyssy, Regisseur von ""Die Schweizermacher"".","An old-fashioned matrimonial agency descends into chaos after the adoption of a new computerised system. A comedy directed by Rolf Lyssy, who also made “The Swissmakers”.","Em uma agência matrimonial o caos irrompe após a adopção de um novo sistema eletrônico. O filme é dirigido por Rolf Lyssy, diretor de ""Schweizermacher"".","وكالة زواج تعمل بالطرق القديمة تُقرر اعتماد تعريف المترشحين عن طريق الفيديو، وهو ما أدخل شيئا من الفوضى المرحة على الأجواء. بعد مرور ثلاثة أعوام على شريط ""صُناع السويسريين"" يعود المخرج رولف ليسّي إلى الكوميديا ويُسيّر مُجددا الممثل إيميل شتاينبرغر. ","Una agencia matrimonial decide hacer uso de las nuevas tecnologías, lo que provoca un verdadero caos. Comedia del realizador Rolf Lyssy, surgida 3 años después de ‘Los hacedores de Suizos’ y dirigida también por Emil Steinberger.","Комедийный фильм Рольфа Лисси, снятый в 1981 году: брачное агентство пытается внедрять у себя новейшие на тот момент электронные средства информации и коммуникации, что не может не завершиться полным хаосом. ","An old-fashioned matrimonial agency descends into chaos after the adoption of a new computerised system. A comedy directed by Rolf Lyssy, who also made “The Swissmakers”."
GIULIASVERSCHWINDEN.synopsis,"Comédie pleine de tendresse sur l’âge, le film entremêle des tranches de vie de Giulia (50 ans), de Jessica (14 ans) et de Léonie (80 ans). Tiré d’un livre de Martin Suter, qui signe ici des dialogues pétillants.",一部以“年龄”为主题的温暖的电影。朱莉娅(50岁)、杰西卡(14岁)和雷奥妮(80岁)之间的忘年交故事。影片由瑞士著名作家Martin Suter的小说改编，片中不乏精彩绝伦的对话。,"Giulia compie 50 anni, ma fatica ad accettarlo. Tratto da un libro di Martin Suter (scrittore e sceneggiatore), il film è una commedia sull’età e la giovinezza.","Giulia wird 50, hat aber Mühe damit, dies zu akzeptieren. Der Film nach einem Buch des Bestseller-Autors Martin Suter ist eine Komödie über das Altern und die Jugend.",Giulia can’t face her 50thbirthday party. A comedy about youth and ageing. Well-known novelist Martin Suter wrote the sparkling screenplay.,"Giulia tem 50 anos, mas tem dificuldades de aceitar a idade. Baseado em um livro de Martin Suter, o filme é uma comédia sobre a idade e juventude.",يمزج الشريط، وهو عبارة كوميديا رقيقة حول السنّ، بين مقتطفات من حياة جوليا (50 عاما) وجيسيكا (14 عاما) ولايوني (80 عاما). العمل السينمائي اقتبس من كتاب من تأليف مارتن سوتر، الذي تميّز هنا بحوارات متألقة. ,"Comedia plena de ternura sobre la edad, el filme entremezcla pasajes de la vida de Giulia (50), Jessica (14) y Léonie (80) y su origen es un libro del autor suizo Martin Suter. ","«Джулия исчезает» («Giulias Verschwinden»), швейцарская комедия о старости и молодости и о том, что возраст любви не помеха. Снят на основе сценария известного швейцарского писателя Мартина Суттера (Martin Suter) режиссером Кристофом Шаубом (Christoph Schaub). Премьера состоялась в 2009 году на международном кинофестивале в Локарно. ",Giulia can’t face her 50thbirthday party. A comedy about youth and ageing. Well-known novelist Martin Suter wrote the sparkling screenplay.
DASGEFRORENEHERZ.synopsis,"Adapté d’un livre de Meinrad Inglin, cette parabole espiègle sur la cupidité raconte l’histoire de deux compères qui découvrent un cadavre gelé sur un chemin de montagne et cherchent à rentabiliser leur trouvaille macabre. ",由Meinrad Inglin的小说改编，一个有关贪婪的故事：两个朋友在一条山路上发现了一具冰冻的尸体，并企图最大限度地从这一发现中获得好处。,"Tratta da un libro di Meinrad Inglin, la commedia si apre col ritrovamento del cadavere di un venditore ambulante in cima a una montagna. Il film è diretto da Xavier Koller, premio Oscar nel 1991 per “Il viaggio della speranza”.","Auf einem Berggipfel wird die Leiche eines Strassenhändlers gefunden. So beginnt diese Komödie nach einem Buch von Meinrad Inglin. Regisseur ist Xavier Koller, 1991 für ""Reise der Hoffnung"" mit dem Oscar für den besten ausländischen Film ausgezeichnet.","Adapted from a book by Meinrad Inglin, this black comedy starts out with the death of a travelling pedlar on a mountain path. The film was directed by Xavier Koller, who won an Oscar in 1991 for “Journey of Hope”.","Baseado em um livro de Meinrad Inglin, a comédia começa com a descoberta do cadáver de um vendedor de rua no topo de uma montanha. O filme é dirigido por Xavier Koller, vencedor do Oscar em 1991 por ""Reise der Hoffnung"".","بعد عشرة أعوام، تم استكمال شريط A vos marques, prêts, Charlie !، وفي هذه المرة  تخلى مايك إيشمان عن الكاميرا لزميله أوليفر ريهس. النتيجة كانت نفس الأسلوب الساخر والمراهق وإقبال واسع من طرف الجمهور وخاصة في المناطق المتحدثة بالألمانية من سويسرا. ","Adaptación del libro de Meinrad Inglin, esta comedia inicia con el descubrimiento del cadáver de un comerciante callejero en el pico de una montaña. El realizador es Xavir Koller recibió en 1991 con ‘Viaje de la esperanza’ el Oscar por el mejor filme extranjero. ","Фильм «Das gefrorene Herz» («Лед в сердце») снят в 1979 году Ксавьером Коллером (Xavier Koller) и повествует о том, как поссорились две благополучные швейцарские деревни. Причина проста и банальна: невесть откуда взявшийся бродяга берет и помирает прямо на границе двух общин. Вопрос – чей бюджет должен взять на себя расходы по организации похорон никому не известного человека? ","Adapted from a book by Meinrad Inglin, this black comedy starts out with the death of a travelling pedlar on a mountain path. The film was directed by Xavier Koller, who won an Oscar in 1991 for “Journey of Hope”."
ACHTUNGFERTIGWK!.synopsis,"Dix ans après, la suite de «A vos marques, prêts, Charlie!», pour lequel Mike Eschmann a laissé la caméra à Oliver Rihs. Un même type d’humour adolescent et potache et un nouveau carton, surtout en Suisse alémanique.",《冲吧，查理！》10年之后的续集，同样的青春期幽默、校园故事风，深烙着瑞士德语区的文化风情。,"Può un istruttore di yoga riformare il servizio militare svizzero e suo suocero? La commedia di Oliver Rihs ha avuto particolare successo nella Svizzera tedesca, senza però riuscire a ritagliarsi uno spazio all’estero.","Nachfolgefilm von ""Achtung, fertig, Charlie!"". Kann ein Yogalehrer die Schweizer Armee und seinen Schwiegervater verändern? Der Erfolg dieses Films beschränkte sich auf die Deutschschweiz.","Can a yoga teacher reform the Swiss army – and his father-in-law as well? This comedy by Oliver Rihs was a hit in German Switzerland, not so much abroad.","Um instrutor de ioga consegue reformar o serviço militar suíço e seu sogro? A comédia de Oliver Rihs fez sucesso na Suíça de língua alemã, mas não conseguiu o mesmo no exterior.","بعد عشرة أعوام، تم استكمال شريط A vos marques, prêts, Charlie !، وفي هذه المرة  تخلى مايك إيشمان عن الكاميرا لزميله أوليفر ريهس. النتيجة كانت نفس الأسلوب الساخر والمراهق وإقبال واسع من طرف الجمهور وخاصة في المناطق المتحدثة بالألمانية من سويسرا. ","Es la continuación del filme ¡En sus marcas, listos, Charlie!, producida diez años después. Un maestro de yoga busca cambiar a su padre y al ejército suizo. El éxito de esta producción se limitó a la parte germana de Suiza.","«Всем строиться или Армейский пирог – 2» («Achtung, fertig, WK!»): снятое в 2013 году режиссером Оливером Рисом (Oliver Rihs) продолжение более чем успешной первой части комедийной дилогии «Армейский пирог». Будучи типичным хипстером, Алекс Штюсси (Alex Stüssi) в свое время «откосил» от армии, ссылаясь на свои мнимые болезни и мнимую же гомосексуальность. Пять лет спустя он женится на дочери уже знакомого нам «вояки» Франца Райкера. Денег у пары на собственный дом нет, но Франц предлагает им свой дом с одним условием: Алекс должен пройти-таки курс молодого бойца в его части, над которой висит угроза расформирования. ","Can a yoga teacher reform the Swiss army – and his father-in-law as well? This comedy by Oliver Rihs was a hit in German Switzerland, not so much abroad."
BROTUNDSTEINE.synopsis,"Un paysan de l’Emmental se défend contre les projets d’extension d’une grande entreprise qui l’obligeraient à quitter sa terre. Un pur «Heimatfilm», centré sur la défense de l’identité et du paysage.",艾门塔尔一位农民反对一家公司在当地设立分厂，以避免被迫背井离乡的命运。一部“家乡情怀”的电影，焦点集中于对文化身份和乡村生活的捍卫。,"Un contadino difende la sua esistenza contro l’arrivo di una grande società, che vuole portargli via il terreno. Un cosiddetto “Heimatfilm”, centrato sulla difesa dell’identità e del paesaggio.","Ein Bauer verteidigt seine Existenzgrundlage gegen einen grossen Konzern, der ihm sein Land wegnehmen will. Ein so genannter ""Heimatfilm"", der die Verteidigung von Identität und Landschaft ins Zentrum stellt.",An Emmental farmer defends his way of life against the encroachments of a big company trying to grab his land. A film with traditional themes of country life and maintaining local identity.,Um camponês defende sua existência contra a chegada de uma grande empresa que quer tirá-lo das suas terras. Filme centrado na defesa da identidade.,"مزارع من منطقة ""إيمينتال"" يتصدى لمشاريع توسعة تعتزم شركة كبرى القيام بها والتي ستُجبره على مغادرة أرضه. شريط مثير لمشاعر الإنتماء إلى الأرض والتعلق بها ويتمحور حول الدفاع عن الهوية والمشهد الطبيعي. ",Un campesino de Emmental se defiende de los proyectos de extensión de una gran empresa que le exige abandonar sus tierras. Un filme centrado en la defensa de la identidad rural.,"«Хлеб и камни» («Brot und Steine»), художественный фильм, снятый в 1979 году Лизелоттой Пульвер (Liselotte Pulver) и Зигфридом Штайнером (Sigfrit Steiner) на тему столкновения традиционной деревенской Швейцарии с новым миром международных фирм и концернов. ",An Emmental farmer defends his way of life against the encroachments of a big company trying to grab his land. A film with traditional themes of country life and maintaining local identity.
DASBOOTISTVOLL.synopsis,"Nominé aux Oscars, primé à Berlin, le film de Markus Imhoof interroge le rôle de la Suisse durant la Seconde Guerre mondiale, et en particulier la décision de fermer les frontières, annoncée en août 1942. ",这部由Markus Imhoof 导演的影片曾获奥斯卡提名和柏林电影节奖项。影片旨在探讨二战时瑞士在各国纷争中所扮演的角色，特别是其1942年做出的关闭国境线的决定令人深思。 ,"Candidato all'Oscar e vincitore di un Orso berlinese, il film di Markus Imhoof si interroga sul ruolo della Svizzera nella Seconda guerra mondiale e in particolare sulla decisione di chiudere tutte le frontiere, annunciata nell’agosto del 1942.","Oscar-Kandidat und Gewinner des Goldenen Bären. Der Film von Markus Imhoof hinterfragt die Rolle der Schweiz im Zweiten Weltkrieg und dabei besonders den Entscheid vom August 1942, alle Grenzen zu schliessen.","Nominated for an Oscar and winner of a Golden Bear in Berlin, this film by Markus Imhoof questions Switzerland’s role in World War II, focusing on the decision to close the borders in August 1942.","Indicado ao Oscar e vencedor de um prêmio no Festival de Berlim, o filme de Markus Imhoof questiona o papel da Suíça na Segunda Guerra Mundial e, em particular, a decisão de fechar todas as fronteiras em agosto de 1942.",يطرح شريط ماركوس إيمهوف، الذي رُشّح لنيل الأوسكار وتحصل على جائزة في برلين، تساؤلات حول الدور الذي لعبته سويسرا خلال الحرب العالمية الثانية، وخاصة فيما يتعلق بقرار إغلاق الحدود بوجه اللاجئين الذي تم الإعلان عنه في شهر أغسطس 1942.,"Nominado a los Oscar y galardonado en Berlín, el filme de Markus Imhoof interroga el papel de Suiza durante la Segunda Guerra Mundial, y en particular, la decisión gubernamental de cerrar las fronteras, anunciada en 1942.","Фильм «Места в лодке больше нет» («Das Boot ist voll») снят режиссером Маркусом Имхофом (Markus Imhoof) по одноименному роману швейцарского писателя Альфреда Хёслера (Alfred A. Häsler). 1942 год, Швейцария закрывает границы, отгораживаясь от Европы, погруженной в пучину войны. Шесть беженцев хотят проникнуть в Швейцарию. Кто из них получит право остаться? Кому придется покинуть мирную страну?","Nominated for an Oscar and winner of a Golden Bear in Berlin, this film by Markus Imhoof questions Switzerland’s role in World War II, focusing on the decision to close the borders in August 1942."
KOMIKER.synopsis,"Roni Beck a 38 ans et n’a encore rien fait de sa vie. Il aimerait être un comique, mais il se cache dans le home où vit sa vieille mère, en essayant d’écrire son premier spectacle. Une comédie noire, dans laquelle rien ne se passe comme prévu.",38岁的Roni Beck年近不惑，却一事无成。他想成为喜剧演员，却蛰居在老母亲家里，试图创作自己的第一个剧本。一部让人出乎意料的黑色喜剧。  ,"Il comico Roni Beck si nasconde in una casa per anziani, dove continua a sognare una carriera di successo.","Der Komiker Roni Beck versteckt sich in einem Altersheim, wo er weiterhin von einer erfolgreichen Karriere träumt.","Comedian Roni Beck hides out in the old folks’ home where his mother lives, works on his script and dreams of showbiz success.","O comediante Roni Beck se esconde em um asilo de idosos, onde continua a sonhar com uma carreira de sucesso.",في سن الثامنة والثلاثين، لا زال روني باك يبحث عن معنى لحياته. إنه يريد أن يُصبح ممثلا فكاهيا، لكنه يختبئ في مأوى العجزة الذي تقيم فيه والدته المُسنّة محاولا كتابة نص مسرحيته الأولى. كوميديا سوداوية لا تجري فيها الأحداث كما هو متوقع.  ,"Roni Beck tiene 38 años y aún no ha hecho nada de su vida. Quisiera ser comediante, pero sigue escondido en el asilo donde vive su madre anciana, intentando escribir el guion de su primer espectáculo. Una comedia negra, en la que nada pasa como previsto. ","«Комедиант» («Komiker»), фильм, снятый в 2000 году режиссером Маркусом Имбоденом (Markus Imboden). Рони Бек (Roni Beck) является безуспешным актером-юмористом. Денег у него нет и поэтому он тайно селится у своей матери в доме престарелых. Директор дома быстро разоблачает незваного гостя и предлагает ему, в обмен на кров и питание, поработать санитаром. ","Comedian Roni Beck hides out in the old folks’ home where his mother lives, works on his script and dreams of showbiz success."
DERSCHWARZETANNER.synopsis,"En pleine Seconde Guerre mondiale, un paysan suisse fait de la résistance en refusant de transformer ses pâturages en terres cultivables, comme le prescrit alors le plan Wahlen, destiné à assurer l’autosuffisance alimentaire du pays.",第二次世界大战进展到最为激烈之时，一位瑞士农民拒绝配合国家粮食自给自足计划，拒绝将其牧场改用为耕田的故事。,"Nel 1941, in piena Seconda guerra mondiale, un contadino svizzero si rifiuta di seguire gli ordini delle autorità e di trasformare i pascoli in terreni agricoli.","1941, mitten im Zweiten Weltkrieg, weigert sich ein Schweizer Bauer, der Weisung der Behörden zu folgen und aus seinen Wiesen Ackerland zu machen.","In 1941, a Swiss farmer takes on the government which wants him to turn his pastures into cultivable land as part of a plan to ensure the beleaguered nation’s food supply in wartime.","Em 1941, durante a Segunda Guerra Mundial, um fazendeiro suíço se recusa a seguir as ordens das autoridades e de transformar pastos em terras agrícolas.","في خضم الحرب العالمية الثانية، يُقرر مزارع سويسري السباحة ضد التيار رافضا تحويل مراعيه إلى أراض صالحة للزراعة، مثلما كان يفرضه آنذاك ما عُرف بـ ""مخطط فاهلن""، الرامي إلى تأمين الإكتفاء الذاتي من الغذاء للبلاد في تلك الفترة المضطربة. ","En plena Segunda Guerra Mundial, un campesino suizo hace resistencia al rechazar transformar sus pastizales en tierras agrícolas, como lo prescribe el plan Wahlen, destinado a asegurar la autosuficiencia alimentaria en el país alpino.
","«Битва за урожай или Черный Таннер» («Der Schwarze Tanner»), фильм Ксавьера Коллера, снятый в 1986 году. Швейцария, 1942 год, мир погружен в войну, нейтральная Конфедерация сталкивается с проблемой обеспечения граждан продовольствием. Правительство провозглашает «битву за урожай» и призывает частных фермеров принять участие в этом проекте. Большинство выступает в поддержку правительства, но есть и такие, как Черный Таннер, которые начинают сопротивляться. ","In 1941, a Swiss farmer takes on the government which wants him to turn his pastures into cultivable land as part of a plan to ensure the beleaguered nation’s food supply in wartime."
MANIMATTERWARUMSYTDIRSOTRUURIG?.synopsis,"Portrait de Mani Matter, chanteur alémanique disparu en 1972, à l’âge de 36 ans. 30 ans plus tard, ce grand admirateur de Brassens et observateur ironique de la grisaille helvétique revit à travers images d’archives et témoignages de proches.",1972年，瑞士德语区著名音乐人马尼·马特(Mani Matter)因车祸而去世，时年36岁。30年之后，这位对瑞士文化有着敏锐观察的艺术家通过电影中的档案画面和对身边人的采访得到复生。,"Ritratto del famoso cantante svizzero Mani Matter, presentato attraverso materiale d’archivio e testimonianze di famigliari.","Porträt des berühmten Berner Mundart-Liedermachers Mani Matter, mit vielen Archivaufnahmen und Berichten von Familienmitgliedern.","A portrait of Mani Matter, a beloved German-Swiss dialect folksinger of the 1960s, containing archive material and interviews with family members.","Documentário sobre o famoso cantor suíço Mani Matter, apresentado através de imagens de arquivo e depoimentos de membros da família.",بورتريه ماني ماتّر، مطرب سويسري من المناطق المتحدثة بالألمانية، توفى سنة 1972 عن عمر يناهز 36 عاما. بعد مرور ثلاثين عاما، يعود هذا المُعجب الكبير بالفرنسي جورج براسنس والمُراقب الساخر للأجواء السويسرية الكئيبة إلى الحياة من جديد عبر صور أرشيفية وشهادات مقربين منه. ,"Retrato de Mani Matter, cantor suizo muerto en 1972, a la edad de 36 años. Treinta años más tarde de su desaparición, el intérprete en dialecto suizo-alemán revive en este filme a través de imágenes de archivo y testimonios de seres cercanos.","«Мани Маттер: почему вы так печальны?» («Mani Matter – Warum syt dir so truurig?»): самый успешный в прокате швейцарский документальный фильм, посвященный жизни и творчеству трагически погибшего в 1972 году культового швейцарского барда Мани Маттера, снят в 2002 году Фридрихом Капеллером (Friedrich Kappeler). ","A portrait of Mani Matter, a beloved German-Swiss dialect folksinger of the 1960s, containing archive material and interviews with family members."
SENNENTUNTSCHI.synopsis,"Selon une légende alpine, la Sennentuschi est une poupée de paille utilisée par des bergers pour assouvir leurs pulsions sexuelles. Un jour, la poupée prend vie pour se venger de ceux qui ont abusé d'elle. Un film d'horreur dont on sort plus décontenancé que terrorisé.",这是一个阿尔卑斯山区的传说：Sennentuschi-一个牧人用以发泄性欲而制作的稻草性玩偶突然生命附体，向玷污过她的人实施报复。一部让人吃惊多过恐惧的恐怖片。,Dagli altari alla polvere e ritorno (forse): la travagliata storia di Michael Steiner e del suo film è un capitolo emblematico di cinema svizzero. La pellicola s'ispira al racconto di un'aberrazione sessuale ambientata nell'arco alpino.,"Drei Sennen basteln sich aus Langeweile eine Puppe und meinen im Rausch, sie sei lebendig geworden, als eine unbekannte Frau auftaucht. Diese rächt sich an ihnen. Der Horrorfilm von Michael Steiner bezieht sich auf die gleichnamige Sage aus dem Alpenraum.",Michael Steiner’s horror film about a doll used for sexual gratification by isolated Alpine shepherds which then comes to life and exacts retribution was a major event in recent Swiss cinema.,A história conturbada de Michael Steiner e seu filme é um capítulo emblemático do cinema suíço. O filme é inspirado no conto de uma aberração sexual ambientada nos Alpes.,طبقا لأسطورة متداولة في مناطق جبال الألب، تُستخدم دمية من التبن تُسمى Sennentuschi من طرف رعاة لإشباع رغباتهم الجنسية. في إحدى الأيام، تعود الدمية إلى الحياة لتنتقم من كل الذين اعتدوا عليها. شريط رعب يخرج منه المتفرج بارتباك يفوق ما تعرض له من ترويع. ,"Según la leyenda alpina, el Sennentuschi es una muñeca de paja utilizada por los campesinos para saciar sus pulsiones sexuales. Un día, la muñeca toma vida para vengarse de aquellos que abusaron de ella. Un filme de terror que provoca más bien desconcierto, en lugar de terror.","«Пастушья кукла» («Sennentuntschi), снятый в 2010 году в жанре мистического триллера фильм Михаэля Штайнера (Michael Steiner) на основе старой альпийской легенды о том, как в свое время пастухи, проводя одинокие месяцы высоко в горах, мастерили себе для удовлетворения своих мужских потребностей специальных «кукол» из сена и глины. И вот одна из них ожила несколько веков спустя и горит жаждой отмщения. ",Michael Steiner’s horror film about a doll used for sexual gratification by isolated Alpine shepherds which then comes to life and exacts retribution was a major event in recent Swiss cinema.
graphic.title,Les 25 plus grands succès du cinéma suisse 1976 - 2015,1976-2015年间最成功的25部瑞士电影,I 25 più grandi successi del cinema svizzero 1976 - 2015,Die 25 erfolgreichsten Schweizer Kinofilme 1976 - 2015,The 25 greatest hits of Swiss cinema from 1976 to 2015,Os 25 maiores sucessos do cinema suíço de 1976 a 2015,أنجح 25 شريط سينمائي سويسري من 1976 إلى 2015,Los 25 éxitos más destacados del cine suizo de 1976 a 2015,25 самых успешных швейцарских фильмов,スイス映画興行成績ランキング　トップ２５（１９７６～２０１５年）
