code,FR,IT,DE,EN,PT,AR,ES,RU,JA,ZH
DERSCHWARZETANNER.synopsis,"En pleine Seconde Guerre mondiale, un paysan suisse fait de la résistance en refusant de transformer ses pâturages en terres cultivables, comme le prescrit alors le plan Wahlen, destiné à assurer l’autosuffisance alimentaire du pays.","Nel 1941, in piena Seconda guerra mondiale, un contadino svizzero si rifiuta di seguire gli ordini delle autorità e di trasformare i pascoli in terreni agricoli.","1941, mitten im Zweiten Weltkrieg, weigert sich ein Schweizer Bauer, der Weisung der Behörden zu folgen und aus seinen Wiesen Ackerland zu machen.",,"Em 1941, durante a Segunda Guerra Mundial, um fazendeiro suíço se recusa a seguir as ordens das autoridades e de transformar pastos em terras agrícolas.",,,"«Битва за урожай или Черный Таннер» («Der Schwarze Tanner»), фильм Ксавьера Коллера, снятый в 1986 году. Швейцария, 1942 год, мир погружен в войну, нейтральная Конфедерация сталкивается с проблемой обеспечения граждан продовольствием. Правительство провозглашает «битву за урожай» и призывает частных фермеров принять участие в этом проекте. Большинство выступает в поддержку правительства, но есть и такие, как Черный Таннер, которые начинают сопротивляться. ",,
MANIMATTERWARUMSYTDIRSOTRUURIG?.synopsis,"Portrait de Mani Matter, chanteur alémanique disparu en 1972, à l’âge de 36 ans. 30 ans plus tard, ce grand admirateur de Brassens et observateur ironique de la grisaille helvétique revit à travers images d’archives et témoignages de proches.","Ritratto del famoso cantante svizzero Mani Matter, presentato attraverso materiale d’archivio e testimonianze di famigliari.","Porträt des berühmten Berner Mundart-Liedermachers Mani Matter, mit vielen Archivaufnahmen und Berichten von Familienmitgliedern.",,"Documentário sobre o famoso cantor suíço Mani Matter, apresentado através de imagens de arquivo e depoimentos de membros da família.",,,"«Мани Маттер: почему вы так печальны?» («Mani Matter – Warum syt dir so truurig?»): самый успешный в прокате швейцарский документальный фильм, посвященный жизни и творчеству трагически погибшего в 1972 году культового швейцарского барда Мани Маттера, снят в 2002 году Фридрихом Капеллером (Friedrich Kappeler). ",,
SENNENTUNTSCHI.synopsis,"Selon une légende alpine, la Sennentuschi est une poupée de paille utilisée par des bergers pour assouvir leurs pulsions sexuelles. Un jour, la poupée prend vie pour se venger de ceux qui ont abusé d'elle. Un film d'horreur dont on sort plus décontenancé que terrorisé.",Dagli altari alla polvere e ritorno (forse): la travagliata storia di Michael Steiner e del suo film è un capitolo emblematico di cinema svizzero. La pellicola s'ispira al racconto di un'aberrazione sessuale ambientata nell'arco alpino.,"Drei Sennen basteln sich aus Langeweile eine Puppe und meinen im Rausch, sie sei lebendig geworden, als eine unbekannte Frau auftaucht. Diese rächt sich an ihnen. Der Horrorfilm von Michael Steiner bezieht sich auf die gleichnamige Sage aus dem Alpenraum.",,A história conturbada de Michael Steiner e seu filme é um capítulo emblemático do cinema suíço. O filme é inspirado no conto de uma aberração sexual ambientada nos Alpes.,,,"«Пастушья кукла» («Sennentuntschi), снятый в 2010 году в жанре мистического триллера фильм Михаэля Штайнера (Michael Steiner) на основе старой альпийской легенды о том, как в свое время пастухи, проводя одинокие месяцы высоко в горах, мастерили себе для удовлетворения своих мужских потребностей специальных «кукол» из сена и глины. И вот одна из них ожила несколько веков спустя и горит жаждой отмщения. ",,
JONASQUIAURA25ANSENLAN2000.synopsis,,"Altro simbolo della “nouvelle vague” svizzera, il film di Alain Tanner illustra con umorismo e sensibilità gli stati d’animo e i sogni della generazione del ’68. Nel primo anno di diffusione è stato visto da oltre due milioni di spettatori.",,,,,,,,
graphic.title,Les 25 plus grands succès du cinéma suisse 1976 - 2015,I 25 più grandi successi del cinema svizzero 1976 - 2015,Die 25 erfolgreichsten Schweizer Kinofilme 1976 - 2015,,Os 25 maiores sucessos do cinema suíço de 1976 a 2015,,,25 самых успешных швейцарских фильмов,,
graphic.subtitle,"Nombre cumulé d'entrées en salles en Suisse en fonction de l'année de production. La taille des bulles est proportionnelle au score du film sur IMDb.com. Placez votre curseur sur une bulle pour en savoir plus sur un film. Cliquez sur une bulle pour voir un extrait du film (en langue originale). Note: pour définir si un film est suisse, nous avons retenu les normes européenes se basant sur le pays de production majoritaire.","Numero di entrate* registrate nei cinema svizzeri, a seconda dell'anno di produzione. La dimensione della bolla è proporzionale alla nota su IMDb. Spostate il cursore su una bolla per saperne di più su un film. Cliccate sulla bolla per vedere uno estratto del film o il trailer (in lingua originale). Nota: sono presi in considerazione solo i film 100% svizzeri o le coproduzioni maggioritarie svizzere, in conformità con le norme statistiche europee.","Anzahl Eintritte* in Schweizer Kinos im Entstehungsjahr. Die Grösse der Blase entspricht der Bewertung auf der Filmdatenbank IMDb. Fahren Sie mit dem Cursor über eine Blase, um mehr über den Film zu erfahren. Klicken Sie die Blase an, um einen Filmausschnitt oder den Trailer zu sehen (in Originalsprache). Die Grafik umfasst nur 100-prozentige Schweizer Filme oder nach Richtlinien europäischer Statistiken hauptsächlich schweizerische Koproduktionen.",,"Número de entradas pagas nos cinemas suíços, de acordo com o ano de produção. O tamanho da bolha é proporcional à nota no IMDb. Mova o cursor sobre uma bolha para saber mais sobre um filme. Clique na bolha para ver um trecho do filme ou o trailer (na língua original). Nota: são levados em conta apenas o filme 100% suíço ou com uma maioria de co-produção suíça, de acordo com as normas estatísticas europeias.
",,,"Отражено совокупное количество походов в кино в Швейцарии на данный фильм в соответствии с годом выпуска. Размер окружности пропорционален рейтингу фильма на сайте IMDb.com. Наведите курсор на окружность, чтобы узнать больше о фильме. Нажмите на окружность, чтобы увидеть трейлер фильма на языке оригинала. Примечание: некоторые фильмы являются совместным производством, поэтому швейцарским фильм считается только в случае, если большая часть работ по его производству происходила на территории Швейцарии.",,
source,sources,Fonte,Quellen,,fonte,,,Источник,,
source.label,"Office fédéral de la statistique, ProCinema","Ufficio federale di statistica, ProCinema","Bundesamt für Statistik, ProCinema",,"Departamento Federal de Estatísticas, ProCinema",,,Федеральное ведомство статистики Швейцарии (BfS),,
source.link,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html
source2.label,Internet movie database,Internet movie database,Internet movie database,,Internet movie database,,,«Интернет-база кинофильмов»,,
source2.link,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com
director.cat,réalisateur,regista,Regie,,diretor,,,режиссер,,
genre.cat,genre,genere,Filmgenre,,gênero,,,жанр,,
comedy.type,comédie,commedia,Komödie,,comédia,,,комедия,,
drama.type,drame,drammatico,Drama,,drama,,,драма,,
comedydrama.type,comédie dramatique,commedia drammatica,Tragikomödie,,cométida dramática,,,трагикомедия,,
documentary.type,documentaire,documentario,Dokumentarfilm,,documentário,,,документальный фильм,,
horrormystery.type,horreur/mystère,horror,Horrorfilm,,terror,,,ужасы,,
family.type,famille,per tutti,Familienfilm,,filme para famílias,,,для семейного просмотра,,
clickToHide,(cliquez pour masquer),(Cliccate per nascondere uno o più filoni),(Mit Klick verbergen oder einblenden),,(clique aqui para esconder),,,"(Нажмите, чтобы скрыть)",,
language.cat,langue,lingua,Sprache,,idioma,,,язык,,
ger.type,allemand,tedesco,Deutsch,,alemão,,,немецкий,,
fre.type,français,francese,Französisch,,francês,,,французский,,
year.cat,année,anno,Jahr,,ano,,,год,,
admissions.cat,entrées,entrate,Eintritte,,entradas,,,количество зрителей,,
imdb.cat,note IMDb,nota IMDb,Bewertung IMDb,,nota do IMDb,,,рейтинг IMDb,,
ylab.label,Entrées (en milliers),Entrate (in migliaia),Eintritte (in Tausend),,entradas (em milhares),,,зрители (в тыс.),,
trailer,Extrait video ou bande annonce (en langue originale),Estratto del film o trailer (in lingua originale),Filmausschnitt oder Trailer (in Originalsprache),,Trecho do filme ou trailer (em idioma original),,,Извлечь видео или трейлер (на языке оригинала),,
footnote,"* Tous les cinémas en Suisse (cinémas open air inclus, festivals de film et cinémas érotiques non inclus)","* Tutti i cinema in Svizzera (inclusi gli open air, ma non i festival)","* Alle Kinos in der Schweiz (inkl. Open-Airs, aber ohne Festivals)",,* Todos os cinemas da Suíça (incluíndo open air e festivais de filme. Cinema erótico não incluido),,,"*Учтены все кинотеатры Швейцарии (без показов в формате OpenAir, без фестивальных показов и без порно-кинотеатров)",,
